Subject,Description
Data Structures,"Stacks, queues, linked lists, trees, graphs, and sorting algorithms"
Web Development,"HTML, CSS, JavaScript, responsive design, and PHP"
Machine Learning,"Supervised learning, clustering, SVM, decision trees, neural networks"
Database Management Systems,"SQL, relational algebra, normalization, transactions, indexing"
Computer Networks,"TCP/IP, OSI model, routing, congestion control, protocols"
Operating Systems,"Processes, threads, scheduling, memory management, file systems"
Software Engineering,"SDLC, agile, testing, UML, requirement analysis, software quality"
Artificial Intelligence,"Search algorithms, knowledge representation, reasoning, planning"
Computer Architecture,"Registers, ALU, instruction cycle, pipelining, memory hierarchy"
Cyber Security,"Cryptography, firewalls, authentication, network security, threats"
